I got the file, trying to open...
tr_static_init,c:\users\user\projects\zlib-1.2.11\trees.c,233
__raise_securityfailure,f:\dd\vctools\crt\vcstartup\src\gs\gs_report.c,140
crc32_combine,c:\users\user\projects\zlib-1.2.11\crc32.c,432
detect_data_type,c:\users\user\projects\zlib-1.2.11\trees.c,1126
gzvprintf,c:\users\user\projects\zlib-1.2.11\gzwrite.c,380
send_all_trees,c:\users\user\projects\zlib-1.2.11\trees.c,837
zlibVersion,c:\users\user\projects\zlib-1.2.11\zutil.c,28
snprintf,c:\program files (x86)\windows kits\10\include\10.0.17134.0\ucrt\stdio.h,1948
inflateGetDictionary,c:\users\user\projects\zlib-1.2.11\inflate.c,1295
syncsearch,c:\users\user\projects\zlib-1.2.11\inflate.c,1381
gzgets,c:\users\user\projects\zlib-1.2.11\gzread.c,547
gzgetc,c:\users\user\projects\zlib-1.2.11\gzread.c,449
pqdownheap,c:\users\user\projects\zlib-1.2.11\trees.c,455
gz_avail,c:\users\user\projects\zlib-1.2.11\gzread.c,58
_CRT_INIT,f:\dd\vctools\crt\vcstartup\src\startup\dll_dllmain.cpp,153
gzgetc_,c:\users\user\projects\zlib-1.2.11\gzread.c,478
find_pe_section,f:\dd\vctools\crt\vcstartup\src\utility\utility.cpp,61
compress_block,c:\users\user\projects\zlib-1.2.11\trees.c,1068
__scrt_uninitialize_type_info,f:\dd\vctools\crt\vcstartup\src\eh\tncleanup.cpp,24
inflateValidate,c:\users\user\projects\zlib-1.2.11\inflate.c,1529
uncompress2,c:\users\user\projects\zlib-1.2.11\uncompr.c,32
uncompress,c:\users\user\projects\zlib-1.2.11\uncompr.c,91
inflateCodesUsed,c:\users\user\projects\zlib-1.2.11\inflate.c,1556
inflateCopy,c:\users\user\projects\zlib-1.2.11\inflate.c,1464
_tr_tally,c:\users\user\projects\zlib-1.2.11\trees.c,1018
updatewindow,c:\users\user\projects\zlib-1.2.11\inflate.c,400
deflatePending,c:\users\user\projects\zlib-1.2.11\deflate.c,532
deflateInit2_,c:\users\user\projects\zlib-1.2.11\deflate.c,250
ReadPointerNoFence,f:\dd\externalapis\windows\10\sdk\inc\winnt.h,8235
__scrt_is_ucrt_dll_in_use,f:\dd\vctools\crt\vcstartup\src\utility\ucrt_detection.c,22
deflate,c:\users\user\projects\zlib-1.2.11\deflate.c,766
inflate_fast,c:\users\user\projects\zlib-1.2.11\inffast.c,53
_except_handler4_noexcept,f:\dd\vctools\crt\vcstartup\src\eh\i386\chandler4_noexcept.cpp,51
bi_windup,c:\users\user\projects\zlib-1.2.11\trees.c,1192
crc32_z,c:\users\user\projects\zlib-1.2.11\crc32.c,206
gzputs,c:\users\user\projects\zlib-1.2.11\gzwrite.c,355
dllmain_raw,f:\dd\vctools\crt\vcstartup\src\startup\dll_dllmain.cpp,162
